 38000 38.000000 -2.582730 96.646000 10.641000   -1.522290 94.021500 11.320600   
 38250 38.250000 -2.198360 96.212800 10.711500   -1.605240 93.440400 10.944100   
 38500 38.500000 -2.099940 96.239000 10.925100   -1.054710 93.490000 11.017500   
 38750 38.750000 -1.814420 96.281500 10.578900   -0.679210 93.571600 11.219000   
 39000 39.000000 -2.580320 96.251000 10.496500   -1.080810 93.607100 11.025700   
 39250 39.250000 -2.425910 96.056800 11.176000   -1.862090 93.466800 11.352600   
 39500 39.500000 -2.347940 96.132000 10.499600   -1.735210 93.046100 10.862800   
 39750 39.750000 -2.438360 95.635700 10.951400   -1.411420 93.068300 11.243100   
 40000 40.000000 -2.162170 95.690400 11.176800   -1.174030 92.821500 11.008900   
 40250 40.250000 -2.294470 95.816700 10.666200   -1.149080 93.310300 11.272000   
 40500 40.500000 -1.947780 95.993600 10.640900   -1.358070 93.210900 11.328100   
 40750 40.750000 -2.021180 95.771100 10.978000   -1.148870 93.195600 11.060100   
 41000 41.000000 -2.454260 96.308700 11.497500   -1.464760 93.587900 11.521300   
 41250 41.250000 -2.344180 95.956700 10.946200   -1.322790 93.399000 11.237800   
 41500 41.500000 -2.376970 95.708900 10.910300   -1.450320 92.848500 11.129100   
 41750 41.750000 -2.563650 95.406000 11.205300   -1.437410 92.607000 11.090500   
 42000 42.000000 -2.697890 95.467400 11.182500   -1.897330 92.644700 11.011700   
 42250 42.250000 -2.824940 95.860600 10.964200   -1.787670 92.933700 11.044100   
 42500 42.500000 -2.361790 95.870700 11.263100   -1.834960 92.945300 10.919500   
 42750 42.750000 -2.646530 95.910600 11.472200   -1.721890 93.318600 11.582600   
 43000 43.000000 -2.514850 95.694500 11.448100   -1.480410 93.239900 10.834400   
 43250 43.250000 -2.708310 95.820400 11.431000   -1.725870 93.312600 11.407700   
 43500 43.500000 -2.734670 96.028800 11.264500   -1.803100 93.240300 10.861300   
 43750 43.750000 -2.473010 96.000100 11.628800   -1.538680 93.127100 11.254500   
 44000 44.000000 -2.170770 95.902100 10.889000   -1.406040 93.198100 10.873900   
 44250 44.250000 -2.104030 96.013100 10.611300   -1.416700 93.097600 11.011100   
 44500 44.500000 -2.084550 96.011300 10.656200   -1.335220 93.395800 11.006400   
 44750 44.750000 -2.538170 96.444500 10.508300   -1.644940 93.878100 11.254500   
 45000 45.000000 -2.448710 96.576200 10.622700   -1.584420 93.882600 10.953300   
 45250 45.250000 -2.669000 97.000900 11.103200   -1.909950 94.068000 11.124300   
 45500 45.500000 -2.223200 96.971800 11.315800   -1.464390 94.016800 11.141000   
 45750 45.750000 -2.455170 97.074200 11.112000   -1.593150 94.409700 11.009400   
 46000 46.000000 -1.731630 97.368500 10.918800   -1.449330 94.425200 11.378200   
