5432
Atoms. Timestep: 0
CA 32.2001 20.6114 3.40114
CA 33.6001 20.6114 3.40011
CA 34.3 19.399 3.39932
CA 35.7001 19.399 3.3986
CA 36.4002 20.6114 3.39905
CA 37.8001 20.6114 3.3996
CA 38.5 19.399 3.40004
CA 39.9 19.399 3.40103
CA 40.6001 20.6114 3.40139
CA 42.0001 20.6114 3.4016
CA 42.7001 19.399 3.40087
CA 44.1 19.3989 3.40072
CA 44.8 20.6114 3.40084
CA 46.2 20.6113 3.40018
CA 46.9 19.399 3.40042
CA 48.3001 19.399 3.4003
CA 49.0001 20.6113 3.39977
CA 50.4 20.6114 3.39976
CA 51.1 19.3988 3.39929
CA 52.5 19.3989 3.399
CA 53.2 20.6112 3.39957
CA 54.5999 20.6113 3.40014
CA 55.3 19.3988 3.4003
CA 56.6999 19.3989 3.40064
CA 57.4001 20.6113 3.39982
CA 58.8001 20.6114 3.39824
CA 59.5001 19.3989 3.3983
CA 60.9 19.3989 3.39701
CA 61.5999 20.6112 3.39627
CA 62.9999 23.0362 3.40032
CA 0.699962 21.8237 3.39892
CA 2.10001 21.8237 3.40054
CA 2.80002 23.0361 3.40303
CA 4.20002 23.0361 3.40239
CA 4.90002 21.8237 3.40069
CA 6.29996 21.8238 3.39924
CA 7.00012 23.0361 3.39888
CA 8.40003 23.0362 3.39842
CA 9.10013 21.8236 3.39953
CA 10.5 21.8237 3.40211
CA 11.2001 23.0361 3.40177
CA 12.6 23.0362 3.40201
CA 13.3002 21.8237 3.40227
CA 14.7 21.8239 3.40037
CA 15.4001 23.0361 3.40039
CA 16.8 23.0364 3.40122
CA 17.5001 21.8238 3.40096
CA 18.9 21.8239 3.40061
CA 19.6001 23.0362 3.40079
CA 21 23.0363 3.39957
CA 21.7001 21.8239 3.40002
CA 23.1 21.824 3.40074
CA 23.7999 23.0363 3.39997
CA 25.2 23.0364 3.39993
CA 25.9 21.8238 3.40007
CA 27.3 21.8238 3.39958
CA 28 23.0363 3.39903
CA 29.4001 23.0364 3.39912
CA 30.1001 21.8239 3.40025
CA 31.5001 21.8239 3.40046
CA 32.2001 23.0362 3.40058
CA 33.6001 23.0363 3.40087
CA 34.3001 21.8238 3.40028
CA 35.7001 21.8239 3.39991
CA 36.4 23.0362 3.4003
CA 37.8001 23.0363 3.39995
